aaberg - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aachen - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aachener - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aaker - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aalborg - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aalburg - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aalen - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aaliyah - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aalseth - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aalsmeer - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aalto - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aamodt - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aancor - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aardema - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aarhus - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aaron - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aarons - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aaronson - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aarti - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aase - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aasen - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
ababa - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abacha - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
aback - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abaco - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abacus - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abad - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abadaka - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abadi - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abadie - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abair - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abalkin - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abalone - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abalones - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abalos - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
abandon - To leave behind completely; to give up on something.
abandoned - Proper noun, surname, place name, brand, or specialized term. Exact definition may vary by context.
